caste_id,caste_name,sub_caste_name
1,BC MUSLIMS,Ansar
2,BC MUSLIMS,Dekkani Muslims
3,BC MUSLIMS,Dudekula
4,BC MUSLIMS,Labbais & Marakayar
5,BC MUSLIMS,Mapilla
6,BC MUSLIMS,Sheik
7,BC MUSLIMS,Syed
8,BC,Agamudayar 
9,BC,Thozhu or Thuluva Vellala
10,BC,Agaram Vellan Chettiar
11,BC,"Alwar, Azhavar and Alavar "
12,BC,Servai 
13,BC,Nulayar 
14,BC,Archakarai Vellala
15,BC,Aryavathi
16,BC,Ayira Vaisyar
17,BC,Badagar
18,BC,Billava
19,BC,Bondil
20,BC,Boyas & Pedda Boyar & Oddars 
21,BC,Chakkala 
22,BC,Chavalakarar 
23,BC,Chettu or Chetty 
24,BC,Chowdry
25,BC,B C.S.I. formerly S.I.U.C. 
26,BC,Donga Dasaris 
27,BC,"Devangar, Sedar"
28,BC,Dombs 
29,BC,Enadi
30,BC,Ezhavathy
31,BC,Ezhuthachar
32,BC,Ezhuva 
33,BC,Gangavar
34,BC,"Gavara, Gavarai & Vadugar "
35,BC,Gounder
36,BC,Gowda 
37,BC,Hegde
38,BC,Idiga
39,BC,Illathu Pillaimar
40,BC,Illuvar 
41,BC,Ezhuvar & Illathar
42,BC,Jhetty
43,BC,Jogis 
44,BC,Kabbera
45,BC,Kaikolar
46,BC,Sengunthar
47,BC,Kaladi 
48,BC,Kalari Kurup including Kalari Panicker 
49,BC,Kalingi
50,BC,Kallar & Easanattu Kallar 
51,BC,Gandharvakottai Kallars 
52,BC,Kottappal Kallars 
53,BC,Kallar Kula Thondaman
54,BC,Kalveli Gounder
55,BC,Kambar
56,BC,"Kammalar or Viswakarma, Viswakarmala "
57,BC,"Kani, Kanisu, Kaniyar Panikkar"
58,BC,Kaniyala Vellalar
59,BC,"Kannada Saineegar, Kannadiyar "
60,BC,Kannadiya Naidu
61,BC,Karpoora Chettiar
62,BC,Karuneegar 
63,BC,Kasukkara Chettiar
64,BC,Katesar Pattamkatti
65,BC,Kavuthiyar
66,BC,Kerala Mudali
67,BC,Kharvi
68,BC,Khatri
69,BC,Kongu Vaishnava
70,BC,Kongu Vellalars 
71,BC,Koppala Velama
72,BC,Koteyar
73,BC,Krishnanvaka 
74,BC,Kudikara Vellalar
75,BC,Kudumbi
76,BC,Kuga Vellalar
77,BC,Kunchidigar
78,BC,B Latin
79,BC,Lambadi
80,BC,Lingayat 
81,BC,Mahratta 
82,BC,Malayar
83,BC,Male
84,BC,Maniagar
85,BC,Maravars 
86,BC,Moondrumandai Enbathunalu 
87,BC,Mooppan
88,BC,"Muthuraja, Muthuracha, Muttiriyar, Mutharaiyar"
89,BC,Nadar & Shanar & Gramani 
90,BC,Christian Nadar & Shanar & Gramani
91,BC,Nagaram
92,BC,Naikkar 
93,BC,Nangudi Vellalar
94,BC,Nanjil Mudali 
95,BC,Odar 
96,BC,Odiya
97,BC,Oottruvalanattu Vellalar
98,BC,O.P.S. Vellalar
99,BC,Ovachar
100,BC,Paiyur Kotta Vellalar
101,BC,Pamulu
102,BC,Panar 
103,BC,A Pandiya Vellalar
104,BC,Omitted
105,BC,Kathikarar in Kanyakumari District
106,BC,Pannirandam Chettiar or Uthama Chettiar
107,BC,Parkavakulam 
108,BC,Perike 
109,BC,Perumkollar
110,BC,Podikara Vellalar
111,BC,Pooluva Gounder
112,BC,Poraya
113,BC,Pulavar
114,BC,Pulluvar or Pooluvar
115,BC,Pusala
116,BC,Reddy
117,BC,Sadhu Chetty 
118,BC,Sakkaravar or Kavathi 
119,BC,Salivagana
120,BC,"Saliyar, Padmasaliyar, Pattusaliyar, Pattariyar"
121,BC,Savalakkarar
122,BC,"Senaithalaivar, Senaikudiyar and IIaivaniar"
123,BC,A Serakula Vellalar
124,BC,Sourashtra
125,BC,Sozhia Vellalar 
126,BC,Srisayar
127,BC,Sundaram Chetty
128,BC,Thogatta Veerakshatriya
129,BC,Tholkollar
130,BC,Tholuva Naicker and Vetalakara Naicker
131,BC,Omitted
132,BC,Thoriyar
